state_code	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02	2023-09-09	2023-09-16	2023-09-23	2023-09-30	2023-10-07	2023-10-14	2023-10-21	2023-10-28	2023-11-04	2023-11-11
MG	256.0	279.0	273.0	184.0	195.0	168.0	195.0	219.0	261.0	290.0	275.0	290.0	332.0	357.0	333.0	438.0	457.0	492.0	479.0	336.0	290.0	342.0	295.0	236.0	238.0	180.0	186.0	177.0	164.0	151.0	180.0	116.0	112.0	122.0	124.0	152.0	143.0	174.0	209.0	216.0	218.0	229.0	208.0	171.0	240.0	271.0	260.0	193.0	200.0	200.0	172.0	296.0	442.0	533.0	636.0	665.0	894.0	1013.0	939.0	1382.0	2075.0	2324.0	2655.0	3316.0	4180.0	3625.0	4895.0	4137.0	3767.0	3852.0	3898.0	3033.0	1990.0	1617.0	1226.0	1125.0	820.0	522.0	353.0	438.0	465.0	381.0	396.0	354.0	299.0	291.0	316.0	247.0	360.0	377.0	382.0	417.0	334.0	366.0	362.0	661.0	3608.5
MS	162.0	131.0	128.0	125.0	121.0	119.0	128.0	140.0	218.0	262.0	352.0	439.0	555.0	590.0	750.0	912.0	1007.0	1375.0	1125.0	777.0	711.0	716.0	624.0	465.0	438.0	398.0	322.0	314.0	283.0	269.0	252.0	176.0	155.0	136.0	121.0	121.0	108.0	109.0	121.0	109.0	108.0	139.0	144.0	81.0	103.0	99.0	48.0	9.0	4.0	2.0	6.0	81.0	310.0	306.0	309.0	360.0	427.0	491.0	547.0	503.0	632.0	740.0	726.0	806.0	1050.0	965.0	1130.0	956.0	828.0	889.0	762.0	646.0	496.0	314.0	281.0	122.0	157.0	180.0	174.0	164.0	135.0	110.0	139.0	115.0	102.0	99.0	87.0	88.0	97.0	54.0	16.0	29.0	22.0	30.0	19.0	8.0	1.0
MT	27.0	20.0	24.0	16.0	41.0	31.0	25.0	31.0	52.0	59.0	55.0	60.0	39.0	42.0	46.0	40.0	42.0	47.0	58.0	42.0	26.0	24.0	20.0	6.0	9.0	14.0	10.0	20.0	14.0	13.0	11.0	9.0	9.0	5.0	5.0	15.0	6.0	5.0	4.0	8.0	8.0	13.0	5.0	4.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	11.0	19.0	17.0	10.0	24.0	46.0	42.0	40.0	54.0	57.0	85.0	56.0	81.0	63.0	80.0	80.0	91.0	113.0	100.0	81.0	43.0	22.0	29.0	23.0	34.0	17.0	23.0	20.0	14.0	14.0	8.0	8.0	15.0	12.0	5.0	10.0	8.0	7.0	7.0	6.0	2.0	0.0	0.0	1.0	0.0
PA	5.0	12.0	6.0	9.0	15.0	9.0	12.0	13.0	22.0	16.0	26.0	16.0	24.0	21.0	15.0	26.0	24.0	31.0	42.0	25.0	26.0	24.0	21.0	20.0	20.0	13.0	11.0	5.0	10.0	12.0	10.0	11.0	15.0	8.0	13.0	13.0	8.0	9.0	8.0	10.0	11.0	13.0	3.0	14.0	5.0	14.0	11.0	6.0	1.0	2.0	4.0	10.0	14.0	21.0	31.0	34.0	33.0	19.0	19.0	24.0	38.0	29.0	31.0	40.0	41.0	19.0	24.0	27.0	22.0	38.0	24.0	29.0	29.0	19.0	25.0	18.0	20.0	14.0	8.0	10.0	20.0	16.0	25.0	10.0	25.0	16.0	15.0	13.0	13.0	8.0	5.0	8.0	2.0	5.0	9.0	9.0	6.0
PB	41.0	49.0	64.0	53.0	49.0	53.0	69.0	97.0	123.0	148.0	182.0	127.0	189.0	171.0	216.0	312.0	311.0	436.0	461.0	575.0	482.0	582.0	669.0	623.0	613.0	633.0	511.0	512.0	436.0	419.0	399.0	358.0	332.0	187.0	245.0	207.0	157.0	144.0	136.0	109.0	130.0	77.0	88.0	90.0	97.0	81.0	42.0	32.0	43.0	12.0	4.0	19.0	71.0	62.0	185.0	89.0	78.0	93.0	68.0	81.0	88.0	101.0	116.0	184.0	181.0	170.0	210.0	175.0	151.0	139.0	125.0	123.0	124.0	106.0	96.0	78.0	101.0	86.0	96.0	100.0	70.0	71.0	68.0	76.0	61.0	64.0	61.0	65.0	71.0	71.0	88.0	77.0	62.0	84.0	51.0	55.5	60.0
PE	31.0	24.0	37.0	35.0	25.0	30.0	27.0	37.0	43.0	34.0	57.0	48.0	66.0	78.0	69.0	77.0	93.0	101.0	115.0	104.0	104.0	109.0	151.0	126.0	90.0	126.0	114.0	114.0	111.0	122.0	157.0	150.0	116.0	106.0	104.0	76.0	77.0	59.0	56.0	55.0	59.0	58.0	52.0	59.0	25.0	26.0	10.0	25.0	23.0	17.0	9.0	34.0	66.0	50.0	75.0	58.0	71.0	52.0	71.0	102.0	110.0	190.0	251.0	206.0	177.0	142.0	142.0	134.0	118.0	110.0	96.0	98.0	63.0	77.0	61.0	79.0	56.0	66.0	89.0	90.0	89.0	81.0	116.0	93.0	103.0	93.0	78.0	76.0	89.0	78.0	79.0	66.0	86.0	56.0	41.0	32.0	27.0
PI	0.0	3.0	1.0	1.0	1.0	1.0	3.0	9.0	8.0	18.0	39.0	49.0	55.0	83.0	173.0	315.0	348.0	322.0	385.0	374.0	368.0	426.0	278.0	265.0	266.0	107.0	71.0	78.0	60.0	23.0	35.0	30.0	30.0	40.0	17.0	12.0	7.0	5.0	7.0	5.0	6.0	6.0	2.0	2.0	3.0	2.0	1.0	0.0	0.0	1.0	1.0	3.0	8.0	2.0	8.0	15.0	10.0	15.0	4.0	14.0	20.0	19.0	31.0	45.0	53.0	68.0	75.0	52.0	85.0	143.0	155.0	173.0	121.0	90.0	74.0	73.0	73.0	62.0	40.0	43.0	30.0	34.0	27.0	26.0	16.0	11.0	8.0	8.0	7.0	4.0	4.0	3.0	4.0	7.0	4.0	1.0	2.0
PR	96.0	104.0	91.0	47.0	81.0	86.0	93.0	120.0	224.0	362.0	431.0	692.0	805.0	863.0	1457.0	1274.0	1169.0	1426.0	893.0	720.0	404.0	536.0	471.0	372.0	301.0	220.0	196.0	217.0	190.0	154.0	137.0	142.0	100.0	94.0	77.0	65.0	51.0	62.0	81.0	67.0	78.0	85.0	81.0	67.0	94.0	105.0	73.0	66.0	59.0	51.0	41.0	48.0	58.0	62.0	63.0	82.0	86.0	123.0	124.0	145.0	214.0	273.0	328.0	495.0	550.0	634.0	861.0	933.0	770.0	799.0	770.0	646.0	441.0	326.0	278.0	221.0	171.0	139.0	161.0	77.0	106.0	91.0	105.0	103.0	83.0	110.0	75.0	72.0	98.0	127.0	125.0	97.0	100.0	135.0	131.0	148.5	167.0
RJ	21.0	14.0	22.0	19.0	31.0	35.0	47.0	62.0	66.0	116.0	126.0	177.0	153.0	222.0	201.0	234.0	342.0	461.0	505.0	406.0	400.0	338.0	255.0	153.0	209.0	189.0	155.0	144.0	194.0	148.0	145.0	106.0	110.0	99.0	94.0	101.0	120.0	102.0	95.0	102.0	123.0	160.0	139.0	131.0	171.0	129.0	94.0	86.0	106.0	126.0	119.0	169.0	225.0	212.0	241.0	311.0	373.0	520.0	370.0	505.0	860.0	946.0	1118.0	1375.0	1586.0	1417.0	1792.0	1500.0	1575.0	1927.0	1798.0	1741.0	1487.0	1335.0	1242.0	1351.0	1234.0	996.0	844.0	768.0	646.0	560.0	606.0	537.0	534.0	508.0	448.0	439.0	550.0	515.0	445.0	467.0	382.0	470.0	459.0	480.0	796.0
RN	20.0	21.0	23.0	23.0	28.0	44.0	56.0	73.0	112.0	175.0	203.0	260.0	369.0	460.0	710.0	1018.0	1217.0	1268.0	1178.0	1339.0	1204.0	1386.0	1228.0	1070.0	912.0	750.0	745.0	707.0	629.0	529.0	491.0	546.0	421.0	296.0	219.0	193.0	143.0	118.0	97.0	119.0	100.0	94.0	99.0	109.0	75.0	95.0	51.0	35.0	34.0	16.0	1.0	7.0	67.0	68.0	56.0	76.0	72.0	62.0	51.0	58.0	71.0	97.0	82.0	124.0	170.0	214.0	234.0	280.0	170.0	205.0	111.0	125.0	121.0	84.0	76.0	87.0	93.0	59.0	65.0	78.0	74.0	72.0	76.0	60.0	49.0	56.0	58.0	59.0	51.0	65.0	65.0	70.0	63.0	53.0	55.0	68.0	49.0
RO	6.0	11.0	15.0	15.0	13.0	24.0	42.0	48.0	97.0	48.0	56.0	76.0	49.0	66.0	72.0	62.0	44.0	49.0	46.0	48.0	55.0	68.0	79.0	87.0	97.0	96.0	92.0	77.0	52.0	36.0	43.0	49.0	37.0	27.0	22.0	36.0	31.0	6.0	10.0	34.0	54.0	60.0	51.0	17.0	14.0	63.0	9.0	3.0	0.0	0.0	0.0	8.0	29.0	35.0	25.0	14.0	24.0	20.0	16.0	22.0	18.0	25.0	23.0	20.0	17.0	8.0	16.0	17.0	15.0	9.0	9.0	5.0	4.0	4.0	8.0	2.0	3.0	6.0	3.0	4.0	1.0	0.0	2.0	25.0	8.0	8.0	6.0	7.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RR	3.0	3.0	5.0	7.0	5.0	3.0	3.0	2.0	3.0	4.0	5.0	5.0	9.0	6.0	5.0	10.0	12.0	16.0	32.0	34.0	38.0	47.0	44.0	38.0	42.0	25.0	40.0	28.0	19.0	12.0	15.0	31.0	38.0	13.0	25.0	13.0	22.0	15.0	8.0	12.0	18.0	23.0	23.0	23.0	20.0	23.0	20.0	9.0	4.0	0.0	3.0	9.0	21.0	23.0	20.0	23.0	18.0	18.0	7.0	16.0	17.0	20.0	13.0	21.0	21.0	16.0	13.0	19.0	18.0	16.0	21.0	31.0	22.0	22.0	29.0	21.0	24.0	16.0	17.0	16.0	18.0	10.0	22.0	17.0	8.0	16.0	10.0	7.0	10.0	12.0	20.0	9.0	10.0	14.0	13.0	17.0	16.0
RS	5.0	3.0	6.0	2.0	3.0	3.0	14.0	26.0	61.0	227.0	350.0	637.0	635.0	722.0	984.0	1088.0	683.0	436.0	282.0	388.0	195.0	143.0	95.0	32.0	54.0	80.0	66.0	53.0	48.0	33.0	27.0	18.0	18.0	10.0	13.0	16.0	9.0	9.0	9.0	10.0	13.0	6.0	10.0	8.0	13.0	19.0	14.0	18.0	16.0	4.0	0.0	10.0	31.0	24.0	24.0	14.0	18.0	18.0	21.0	39.0	88.0	138.0	206.0	361.0	462.0	553.0	824.0	882.0	788.0	858.0	564.0	543.0	469.0	396.0	213.0	192.0	89.0	87.0	87.0	61.0	71.0	67.0	48.0	69.0	69.0	67.0	33.0	26.0	35.0	30.0	20.0	22.0	15.0	17.0	16.0	15.0	14.0
SC	44.0	32.0	22.0	22.0	16.0	32.0	21.0	50.0	50.0	112.0	186.0	223.0	329.0	463.0	522.0	566.0	544.0	656.0	632.0	531.0	442.0	326.0	214.0	196.0	156.0	173.0	158.0	114.0	83.0	67.0	56.0	61.0	69.0	74.0	47.0	63.0	56.0	51.0	55.0	43.0	49.0	81.0	77.0	69.0	88.0	92.0	74.0	51.0	88.0	49.0	62.0	75.0	69.0	78.0	73.0	93.0	111.0	183.0	217.0	301.0	624.0	1212.0	1988.0	2649.0	3622.0	4024.0	4574.0	4415.0	4353.0	4200.0	3833.0	3078.0	2237.0	1846.0	1333.0	925.0	759.0	568.0	803.0	446.0	292.0	262.0	202.0	150.0	205.0	171.0	127.0	154.0	175.0	178.0	133.0	162.0	139.0	124.0	148.0	150.0	144.0
SE	2.0	12.0	7.0	2.0	9.0	7.0	19.0	7.0	18.0	10.0	14.0	19.0	27.0	52.0	51.0	82.0	84.0	104.0	188.0	186.0	236.0	294.0	300.0	283.0	246.0	230.0	320.0	275.0	242.0	258.0	285.0	259.0	254.0	174.0	160.0	158.0	136.0	119.0	122.0	140.0	114.0	89.0	104.0	82.0	95.0	57.0	54.0	43.0	31.0	6.0	10.0	30.0	102.0	83.0	66.0	73.0	90.0	67.0	47.0	58.0	60.0	80.0	78.0	85.0	101.0	97.0	129.0	74.0	58.0	69.0	93.0	69.0	54.0	118.0	124.0	129.0	85.0	110.0	123.0	88.0	129.0	101.0	104.0	120.0	112.0	112.0	71.0	68.0	74.0	67.0	70.0	57.0	72.0	74.0	61.0	61.0	56.0
SP	327.0	253.0	366.0	325.0	289.0	310.0	322.0	342.0	504.0	627.0	738.0	946.0	1257.0	1608.0	1935.0	2587.0	3177.0	3538.0	3522.0	2433.0	2336.0	1881.0	1398.0	1070.0	1026.0	834.0	715.0	639.0	566.0	473.0	453.0	343.0	326.0	317.0	257.0	307.0	259.0	332.0	308.0	401.0	482.0	473.0	449.0	364.0	317.0	353.0	284.0	321.0	282.0	102.0	43.0	188.0	638.0	710.0	924.0	1000.0	1148.0	1285.0	1286.0	1324.0	1693.0	1924.0	2274.0	2706.0	2743.0	2538.0	2991.0	2563.0	2563.0	3143.0	2841.0	2690.0	2176.0	1620.0	1254.0	1151.0	1054.0	888.0	728.0	626.0	527.0	530.0	583.0	607.0	596.0	591.0	586.0	570.0	646.0	781.0	703.0	832.0	668.0	681.0	704.0	639.0	736.0
TO	1248.0	1030.0	946.0	901.0	892.0	798.0	695.0	542.0	545.0	592.0	613.0	595.0	688.0	756.0	754.0	882.0	857.0	866.0	925.0	773.0	703.0	782.0	608.0	479.0	451.0	371.0	306.0	271.0	195.0	196.0	173.0	190.0	155.0	111.0	92.0	64.0	86.0	69.0	94.0	73.0	79.0	64.0	89.0	69.0	110.0	132.0	169.0	140.0	143.0	94.0	33.0	62.0	172.0	179.0	193.0	186.0	206.0	232.0	233.0	268.0	313.0	337.0	379.0	577.0	631.0	519.0	526.0	394.0	331.0	359.0	289.0	302.0	280.0	255.0	204.0	207.0	173.0	157.0	125.0	126.0	127.0	93.0	98.0	91.0	123.0	83.0	74.0	70.0	64.0	47.0	30.0	37.0	79.0	73.0	47.0	63.0	54.0
